Time (s),Pressure (hPa)
-0.557427583,985.7045746
0.469344417,985.7048035
1.496171417,985.7051086
2.523012417,985.7051086
3.549859417,985.7048798
3.750287417,985.7040405
4.810239417,985.7036591
5.870170417,985.7028198
6.930062417,985.7022858
7.989977417,985.7014465
9.049882417,985.7011414
10.10980842,985.7006073
11.16969742,985.7000732
12.22961942,985.6991577
13.28952342,985.6980133
14.34941842,985.6974792
15.40928642,985.6972504
16.46920242,985.6972504
17.52913842,985.6977081
18.58904942,985.6988525
19.64892042,985.6990051
20.70880942,985.6990051
21.76869342,985.6990814
22.82863942,985.699234
23.88858042,985.6993866
24.94852442,985.6998444
26.00847142,985.6998444
27.06846642,985.6997681
28.12842442,985.699234
29.18838342,985.699234
30.24829842,985.7023621
31.30821642,985.7027435
32.36820442,985.7028198
33.42818642,985.7029724
34.48816242,985.7029724
35.54818442,985.6996155
36.60821442,985.6983948
37.66824442,985.6980896
38.72825042,985.6967163
39.78826242,985.6963348
40.84826942,985.6960297
41.90823242,985.6960297
42.96816442,985.6948853
44.02807642,985.6942749
45.08796242,985.687561
46.14786442,985.6860352
47.20775042,985.6858826
48.26765842,985.6858826
49.32754542,985.6864166
50.38744842,985.6906891
51.44733542,985.6933594
52.50725842,985.6935883
53.56715742,985.6935883
54.62707942,985.6935883
55.68702042,985.693512
56.74696042,985.693512
57.80688642,985.6935883
58.86679642,985.694046
59.92669642,985.6997681
60.98660942,985.7006073
62.04645742,985.7019806
63.10634642,985.703125
64.16625842,985.703125
65.22622842,985.700531
66.28618942,985.7003021
67.34609942,985.7003021
68.40603142,985.6994629
69.46599042,985.6986237
70.52595242,985.6974792
71.58587242,985.695343
72.64577242,985.6944275
73.70562742,985.6930542
74.76551842,985.6903076
75.82542242,985.6837463
76.88533142,985.6822968
77.94525442,985.6813812
79.00522042,985.680542
80.06516642,985.680542
81.12515342,985.6867218
82.18509242,985.6868744
83.24502642,985.6868744
84.30499442,985.6861877
85.36496442,985.6858063
86.42487642,985.6853485
87.48479742,985.6853485
88.54468442,985.6853485
89.60463242,985.6894684
90.66462542,985.6911469
91.72460942,985.6913757
92.78461142,985.6919861
93.84460542,985.6919861
94.90460742,985.6897736
95.96458042,985.6879425
97.02456542,985.6879425
98.08451542,985.6878662
99.14446142,985.6877899
100.2044374,985.6877136
101.2643934,985.6869507
102.3243284,985.6867981
103.3842544,985.6861877
104.4441854,985.6861115
105.5041464,985.6808472
106.5640734,985.6808472
107.6239894,985.6828308
108.6839474,985.6846619
109.7438674,985.6863403
110.8037464,985.6947327
111.8636354,985.6964111
112.9235404,985.6975555
113.9834714,985.6983948
115.0433824,985.6993103
116.1032424,985.6998444
117.1631204,985.6998444
118.2229624,985.7000732
119.2828394,985.7036591
120.3427344,985.7039642
121.4025974,985.7039642
122.4624654,985.7032776
123.5223754,985.7024384
124.5822484,985.6994629
125.6421494,985.6943512
126.7020684,985.6943512
127.7619854,985.6946564
128.8219014,985.6954193
129.8818214,985.6967926
130.9417044,985.697937
132.0015894,985.6991577
133.0614744,985.6999207
134.1213854,985.6999207
135.1812564,985.694809
136.2411454,985.6947327
137.3010154,985.6941986
138.3608764,985.6939697
139.4207504,985.6939697
140.4806314,985.6996918
141.5405264,985.7004547
142.6004214,985.7015991
143.6603154,985.7020569
144.7201904,985.7027435
145.7800764,985.7033539
146.8399574,985.7038116
147.8998584,985.7042694
148.9597344,985.7050323
150.0196104,985.7099915
151.0795154,985.711441
152.1393734,985.711441
153.1992484,985.7106018
154.2591724,985.7097626
155.3191044,985.7079315
156.3790284,985.7044983
157.4389544,985.7044983
158.4988434,985.7059479
159.5587694,985.7073975
160.6186994,985.7079315
161.6786184,985.7089996
162.7385104,985.7098389
163.7983974,985.7098389
164.8582984,985.7054901
165.9182294,985.7054901
166.9781474,985.7059479
168.0380394,985.7061768
169.0979814,985.7062531
170.1578694,985.7118225
171.2177954,985.712204
172.2777034,985.712204
173.3376374,985.710907
174.3975364,985.7108307
175.4574754,985.7108307
176.5173634,985.7108307
177.5772644,985.7118988
178.6372414,985.7125854
179.6972044,985.712738
180.7571474,985.7131195
181.8170994,985.7135773
182.8770214,985.7136536
183.9369224,985.7138824
184.9968044,985.7147217
186.0566814,985.7156372
187.1165744,985.7164001
188.1765214,985.7169342
189.2364394,985.7174683
190.2963614,985.7174683
191.3563144,985.717392
192.4162454,985.7167816
193.4761834,985.7160187
