Time (s),Pressure (hPa)
-0.55012075,985.851593
0.47675025,985.8509064
1.50360325,985.8502197
2.53046625,985.8493042
3.55732425,985.8486176
3.75757725,985.8470154
4.81758225,985.8460236
5.87759525,985.8446503
6.93761825,985.8430481
7.99763625,985.8409119
9.05757825,985.8393097
10.11754025,985.837326
11.17753525,985.8361816
12.23756225,985.8347321
13.29753325,985.8336639
14.35744925,985.8325958
15.41737125,985.8315277
16.47726625,985.8306122
17.53716625,985.8290863
18.59703525,985.827713
19.65691925,985.826416
20.71683425,985.8252716
21.77679425,985.8242798
22.83676325,985.8235168
23.89667325,985.8222961
24.95653725,985.8218384
26.01642625,985.8213806
27.07634825,985.820694
28.13631425,985.8195496
29.19619025,985.8190155
30.25610125,985.8175659
31.31603525,985.8159637
32.37597125,985.8143616
33.43593525,985.8133698
34.49591325,985.8125305
35.55586625,985.8119965
36.61586325,985.8116913
37.67586725,985.8111572
38.73588825,985.8104706
39.79589025,985.8097839
40.85587125,985.8087158
41.91580625,985.8081055
42.97574325,985.8074188
44.03567925,985.8070374
45.09563725,985.8068085
46.15564925,985.8065033
47.21571025,985.8061218
48.27576725,985.8055115
49.33583025,985.8052826
50.39592525,985.8052826
51.45597225,985.8053589
52.51593725,985.8053589
53.57592825,985.8052826
54.63592125,985.8045959
55.69587925,985.8040619
56.75586525,985.8026123
57.81584325,985.802002
58.87580825,985.8014679
59.93579325,985.8013916
60.99576825,985.8013916
62.05569525,985.8016968
63.11562625,985.802002
64.17561825,985.802002
65.23559625,985.8015442
66.29555125,985.8008575
67.35546925,985.8002472
68.41545125,985.7992554
69.47541925,985.7980347
70.53537225,985.796814
71.59530525,985.7956696
72.65525025,985.7939148
73.71520325,985.7923126
74.77515025,985.7901001
75.83511325,985.7878876
76.89508225,985.785141
77.95503025,985.7835388
79.01501125,985.7823944
80.07501925,985.7820892
81.13501025,985.7820892
82.19496825,985.7820892
83.25494825,985.7823944
84.31490925,985.7823944
85.37486325,985.7823944
86.43484625,985.7823944
87.49483325,985.7823181
88.55481225,985.7823181
89.61485525,985.7822418
90.67491625,985.7822418
91.73491225,985.7820892
92.79493125,985.7822418
93.85489925,985.7820892
94.91482825,985.7814789
95.97477325,985.7810211
97.03474025,985.7810211
98.09467825,985.7801819
99.15465425,985.7801056
100.2146102,985.7801056
101.2745622,985.7801819
102.3344662,985.7803345
103.3944212,985.7804108
104.4544062,985.7805634
105.5143252,985.7806396
106.5742262,985.7807922
107.6341702,985.7810211
108.6941012,985.7813263
109.7540292,985.7817841
110.8139472,985.7821655
111.8738772,985.7824707
112.9338412,985.7836914
113.9937722,985.7843781
115.0536752,985.7843781
116.1136102,985.7843018
117.1734832,985.7841492
118.2333962,985.7839203
119.2933402,985.7839203
120.3533002,985.7846069
121.4132522,985.785675
122.4731792,985.7866669
123.5331152,985.7878113
124.5930982,985.7891083
125.6531012,985.7901764
126.7130842,985.7912445
127.7730752,985.7926941
128.8330802,985.7937622
129.8931032,985.7949066
130.9531132,985.7963562
132.0131072,985.7979584
133.0730722,985.7997131
134.1330362,985.801239
135.1929842,985.8031464
136.2529482,985.8032227
137.3128582,985.8032227
138.3727842,985.8031464
139.4327512,985.8022308
140.4927392,985.8022308
141.5526902,985.802536
142.6126482,985.8037567
143.6725932,985.8037567
144.7325392,985.8049011
145.7924662,985.80513
146.8524172,985.80513
147.9123792,985.8045959
148.9723452,985.8034515
150.0321982,985.802536
151.0921212,985.8013916
152.1521432,985.8010864
153.2121542,985.800705
154.2720972,985.8006287
155.3320602,985.8006287
156.3919972,985.8010864
157.4519962,985.8017731
158.5119982,985.8026886
159.5719592,985.8029938
160.6319332,985.8039856
161.6919362,985.8046722
162.7519502,985.8054352
163.8119272,985.8063507
164.8718972,985.8067322
165.9318722,985.8076477
166.9918202,985.8081818
168.0517822,985.8084106
169.1117342,985.8092499
170.1717122,985.8105469
171.2316952,985.8112335
172.2917362,985.8126068
173.3517652,985.8139038
174.4117442,985.8149719
175.4717362,985.8156586
176.5317552,985.8162689
177.5917222,985.8171844
178.6516762,985.8184052
179.7116292,985.8196259
180.7715702,985.8203125
181.8315192,985.8213043
182.8914342,985.8214569
183.9513832,985.8216858
185.0113602,985.8216095
186.0713562,985.8216858
187.1313282,985.8217621
188.1913072,985.8217621
189.2512982,985.8222961
190.3112972,985.8222961
191.3713092,985.8222198
192.4313052,985.8222198
193.4912442,985.8222961
